alpha,scenario_id,scenario_weight,policy,discounted_profit,oracle_profit,regret,promotion_count,mean_promotion_depth,first_promotion_week,first_discount
0.05,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.1,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.1,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.1,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.15,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.15,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.15,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.2,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.2,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.2,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.25,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.25,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.25,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.3,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.3,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.3,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.35,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.35,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.35,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
